key,value
exported_at,2026-05-28T01:52:55.144Z
v0,400.000000
energy_setting,375.000000
gamma_internal,1.000000
gamma_displayed,0.000000
instrument_sigma,0.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,520.000000
classical_measurements,10000.000000
classical_mean_x,0.500536
classical_mean_E,375.000000
quantum_position_measurements,9930.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,70.000000
quantum_outside_box_events,2471.000000
quantum_mean_x,0.497884
quantum_mean_E,375.616985

eigenstate_n,parity,energy_E_n,k,kappa
1,even,8.151616,2.855104,19.795161
2,odd,32.543417,5.704684,19.169157
3,even,72.969022,8.542191,18.083998
4,odd,129.013605,11.358416,16.461664
5,even,199.876893,14.137782,14.146487
6,odd,283.801458,16.846408,10.779543
7,even,374.723183,19.357768,5.027605

type,panel,bin_index,bin_center,density
position,classical,0,-0.293333,0.000000
position,quantum,0,-0.293333,0.060423
position,classical,1,-0.280000,0.000000
position,quantum,1,-0.280000,0.105740
position,classical,2,-0.266667,0.000000
position,quantum,2,-0.266667,0.075529
position,classical,3,-0.253333,0.000000
position,quantum,3,-0.253333,0.143505
position,classical,4,-0.240000,0.000000
position,quantum,4,-0.240000,0.128399
position,classical,5,-0.226667,0.000000
position,quantum,5,-0.226667,0.120846
position,classical,6,-0.213333,0.000000
position,quantum,6,-0.213333,0.166163
position,classical,7,-0.200000,0.000000
position,quantum,7,-0.200000,0.143505
position,classical,8,-0.186667,0.000000
position,quantum,8,-0.186667,0.249245
position,classical,9,-0.173333,0.000000
position,quantum,9,-0.173333,0.219033
position,classical,10,-0.160000,0.000000
position,quantum,10,-0.160000,0.211480
position,classical,11,-0.146667,0.000000
position,quantum,11,-0.146667,0.302115
position,classical,12,-0.133333,0.000000
position,quantum,12,-0.133333,0.362538
position,classical,13,-0.120000,0.000000
position,quantum,13,-0.120000,0.430514
position,classical,14,-0.106667,0.000000
position,quantum,14,-0.106667,0.619335
position,classical,15,-0.093333,0.000000
position,quantum,15,-0.093333,0.521148
position,classical,16,-0.080000,0.000000
position,quantum,16,-0.080000,0.611782
position,classical,17,-0.066667,0.000000
position,quantum,17,-0.066667,0.558912
position,classical,18,-0.053333,0.000000
position,quantum,18,-0.053333,0.709970
position,classical,19,-0.040000,0.000000
