key,value
exported_at,2026-05-29T21:01:23.954Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.shape,false
links.L,true
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.shape,truncated-parabolic
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,10.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,0.870000
A.e_star_ev,0.038100
A.v0_internal,262.467192
A.e_hist_max_ev,14.000000
A.position_measurements,9030.000000
A.energy_measurements,9030.000000
A.ionisation_events,0.000000
A.outside_box_events,3.000000
A.mean_x_engine,0.498874
A.mean_e_ev,0.873129
B.shape,softened-coulomb
B.length_nm,1.000000
B.m_eff_me,1.000000
B.v0_ev,10.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,1.300000
B.e_star_ev,0.038100
B.v0_internal,262.467192
B.e_hist_max_ev,14.000000
B.position_measurements,9030.000000
B.energy_measurements,9030.000000
B.ionisation_events,0.000000
B.outside_box_events,7.000000
B.mean_x_engine,0.504688
B.mean_e_ev,1.299832

system,shape,n,parity,E_n_ev,E_n_engine,k,kappa
A,truncated-parabolic,1,even,0.872881,22.910273,,
A,truncated-parabolic,2,odd,2.618518,68.727513,,
A,truncated-parabolic,3,even,4.363479,114.527021,,
A,truncated-parabolic,4,odd,6.104363,160.219504,,
position,B,14,-0.106667,0.000000
position,B,15,-0.093333,0.000000
position,B,16,-0.080000,0.000000
position,B,17,-0.066667,0.000000
position,B,18,-0.053333,0.000000
position,B,19,-0.040000,0.000000
position,B,20,-0.026667,0.000000
position,B,21,-0.013333,0.000000
position,B,22,0.000000,0.000000
position,B,23,0.013333,0.016611
position,B,24,0.026667,0.016611
position,B,25,0.040000,0.024917
position,B,26,0.053333,0.000000
position,B,27,0.066667,0.016611
position,B,28,0.080000,0.016611
position,B,29,0.093333,0.033223
position,B,30,0.106667,0.033223
position,B,31,0.120000,0.058140
position,B,32,0.133333,0.041528
position,B,33,0.146667,0.074751
position,B,34,0.160000,0.116279
position,B,35,0.173333,0.141196
position,B,36,0.186667,0.191030
position,B,37,0.200000,0.207641
position,B,38,0.213333,0.274086
position,B,39,0.226667,0.265781
position,B,40,0.240000,0.373754
position,B,41,0.253333,0.357143
position,B,42,0.266667,0.514950
position,B,43,0.280000,0.672757
position,B,44,0.293333,0.830565
position,B,45,0.306667,0.888704
position,B,46,0.320000,1.112957
position,B,47,0.333333,1.212625
position,B,48,0.346667,1.486711
position,B,49,0.360000,1.636213
position,B,50,0.373333,1.760797
position,B,51,0.386667,1.860465
position,B,52,0.400000,2.367110
position,B,53,0.413333,2.574751
position,B,54,0.426667,2.707641
position,B,55,0.440000,2.649502
position,B,56,0.453333,2.782392
position,B,57,0.466667,3.073090
position,B,58,0.480000,3.164452
position,B,59,0.493333,3.222591
position,B,60,0.506667,3.106312
position,B,61,0.520000,3.205980
position,B,62,0.533333,3.139535
position,B,63,0.546667,2.832226
position,B,64,0.560000,2.774086
position,B,65,0.573333,2.707641
position,B,66,0.586667,2.632890
position,B,67,0.600000,2.225914
position,B,68,0.613333,1.818937
position,B,69,0.626667,1.951827
position,B,70,0.640000,1.636213
position,B,71,0.653333,1.661130
position,B,72,0.666667,1.345515
position,B,73,0.680000,0.988372
