key,value
exported_at,2026-05-28T01:49:03.988Z
v0,200.000000
energy_setting,8.000000
gamma_internal,1.000000
gamma_displayed,0.000000
instrument_sigma,0.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,260.000000
classical_measurements,10000.000000
classical_mean_x,0.499842
classical_mean_E,8.000000
quantum_position_measurements,9991.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,9.000000
quantum_outside_box_events,40.000000
quantum_mean_x,0.497450
quantum_mean_E,8.132061

eigenstate_n,parity,energy_E_n,k,kappa
1,even,7.563415,2.750166,13.872151
2,odd,30.100385,5.486382,13.034555
3,even,67.068830,8.189556,11.529578
4,odd,117.143556,10.823288,9.102552
5,even,176.138539,13.271720,4.884819

type,panel,bin_index,bin_center,density
position,classical,0,-0.293333,0.000000
position,quantum,0,-0.293333,0.000000
position,classical,1,-0.280000,0.000000
position,quantum,1,-0.280000,0.000000
position,classical,2,-0.266667,0.000000
position,quantum,2,-0.266667,0.000000
position,classical,3,-0.253333,0.000000
position,quantum,3,-0.253333,0.000000
position,classical,4,-0.240000,0.000000
position,quantum,4,-0.240000,0.000000
position,classical,5,-0.226667,0.000000
position,quantum,5,-0.226667,0.000000
position,classical,6,-0.213333,0.000000
position,quantum,6,-0.213333,0.000000
position,classical,7,-0.200000,0.000000
position,quantum,7,-0.200000,0.000000
position,classical,8,-0.186667,0.000000
position,quantum,8,-0.186667,0.007507
position,classical,9,-0.173333,0.000000
position,quantum,9,-0.173333,0.007507
position,classical,10,-0.160000,0.000000
position,quantum,10,-0.160000,0.000000
position,classical,11,-0.146667,0.000000
position,quantum,11,-0.146667,0.000000
position,classical,12,-0.133333,0.000000
position,quantum,12,-0.133333,0.000000
position,classical,13,-0.120000,0.000000
position,quantum,13,-0.120000,0.000000
position,classical,14,-0.106667,0.000000
position,quantum,14,-0.106667,0.000000
position,classical,15,-0.093333,0.000000
position,quantum,15,-0.093333,0.015014
position,classical,16,-0.080000,0.000000
position,quantum,16,-0.080000,0.000000
position,classical,17,-0.066667,0.000000
position,quantum,17,-0.066667,0.022520
position,classical,18,-0.053333,0.000000
position,quantum,18,-0.053333,0.000000
position,classical,19,-0.040000,0.000000
position,quantum,19,-0.040000,0.022520
position,classical,20,-0.026667,0.000000
position,quantum,20,-0.026667,0.037534
position,classical,21,-0.013333,0.000000
position,quantum,21,-0.013333,0.030027
position,classical,22,0.000000,0.360000
position,quantum,22,0.000000,0.030027
position,classical,23,0.013333,0.982500
position,quantum,23,0.013333,0.082574
position,classical,24,0.026667,1.042500
position,quantum,24,0.026667,0.090081
position,classical,25,0.040000,0.967500
position,quantum,25,0.040000,0.127615
position,classical,26,0.053333,0.997500
position,quantum,26,0.053333,0.142628
position,classical,27,0.066667,0.982500
position,quantum,27,0.066667,0.232709
position,classical,28,0.080000,0.990000
position,quantum,28,0.080000,0.330297
position,classical,29,0.093333,1.012500
position,quantum,29,0.093333,0.337804
position,classical,30,0.106667,1.005000
position,quantum,30,0.106667,0.292763
position,classical,31,0.120000,0.990000
position,quantum,31,0.120000,0.517966
position,classical,32,0.133333,1.035000
position,quantum,32,0.133333,0.532980
position,classical,33,0.146667,1.020000
position,quantum,33,0.146667,0.660595
position,classical,34,0.160000,1.042500
position,quantum,34,0.160000,0.555500
position,classical,35,0.173333,0.997500
position,quantum,35,0.173333,0.660595
position,classical,36,0.186667,1.027500
position,quantum,36,0.186667,0.825743
position,classical,37,0.200000,0.945000
position,quantum,37,0.200000,0.803223
position,classical,38,0.213333,1.020000
position,quantum,38,0.213333,0.863277
position,classical,39,0.226667,0.967500
position,quantum,39,0.226667,0.990892
position,classical,40,0.240000,1.012500
position,quantum,40,0.240000,1.103493
position,classical,41,0.253333,1.020000
position,quantum,41,0.253333,0.938345
position,classical,42,0.266667,1.035000
position,quantum,42,0.266667,1.246122
position,classical,43,0.280000,0.990000
position,quantum,43,0.280000,1.253628
position,classical,44,0.293333,0.997500
position,quantum,44,0.293333,1.246122
position,classical,45,0.306667,1.012500
position,quantum,45,0.306667,1.441297
position,classical,46,0.320000,0.967500
position,quantum,46,0.320000,1.351216
position,classical,47,0.333333,1.005000
position,quantum,47,0.333333,1.358723
position,classical,48,0.346667,1.027500
position,quantum,48,0.346667,1.576419
position,classical,49,0.360000,1.050000
position,quantum,49,0.360000,1.553899
position,classical,50,0.373333,1.005000
position,quantum,50,0.373333,1.508858
position,classical,51,0.386667,0.982500
position,quantum,51,0.386667,1.583926
position,classical,52,0.400000,0.975000
position,quantum,52,0.400000,1.681513
position,classical,53,0.413333,0.997500
position,quantum,53,0.413333,1.869182
position,classical,54,0.426667,1.005000
position,quantum,54,0.426667,1.651486
position,classical,55,0.440000,1.042500
position,quantum,55,0.440000,1.651486
position,classical,56,0.453333,1.005000
position,quantum,56,0.453333,1.764088
position,classical,57,0.466667,0.990000
position,quantum,57,0.466667,1.658993
position,classical,58,0.480000,1.005000
position,quantum,58,0.480000,1.749074
position,classical,59,0.493333,1.035000
position,quantum,59,0.493333,1.568912
position,classical,60,0.506667,0.990000
position,quantum,60,0.506667,1.846662
position,classical,61,0.520000,0.967500
position,quantum,61,0.520000,1.591432
position,classical,62,0.533333,0.997500
position,quantum,62,0.533333,1.794115
position,classical,63,0.546667,1.005000
position,quantum,63,0.546667,1.726554
position,classical,64,0.560000,0.975000
position,quantum,64,0.560000,1.643980
position,classical,65,0.573333,1.012500
position,quantum,65,0.573333,1.854169
position,classical,66,0.586667,1.005000
position,quantum,66,0.586667,1.719047
position,classical,67,0.600000,1.027500
position,quantum,67,0.600000,1.531378
position,classical,68,0.613333,1.005000
position,quantum,68,0.613333,1.553899
position,classical,69,0.626667,1.005000
position,quantum,69,0.626667,1.576419
position,classical,70,0.640000,1.012500
position,quantum,70,0.640000,1.403763
position,classical,71,0.653333,1.012500
position,quantum,71,0.653333,1.343709
position,classical,72,0.666667,0.997500
position,quantum,72,0.666667,1.261135
position,classical,73,0.680000,1.020000
position,quantum,73,0.680000,1.276149
position,classical,74,0.693333,1.042500
position,quantum,74,0.693333,1.208588
position,classical,75,0.706667,1.005000
position,quantum,75,0.706667,1.065959
position,classical,76,0.720000,0.997500
position,quantum,76,0.720000,1.111000
position,classical,77,0.733333,1.050000
position,quantum,77,0.733333,1.058453
position,classical,78,0.746667,1.005000
position,quantum,78,0.746667,1.118507
position,classical,79,0.760000,0.990000
position,quantum,79,0.760000,1.148534
position,classical,80,0.773333,0.975000
position,quantum,80,0.773333,0.885797
position,classical,81,0.786667,1.020000
position,quantum,81,0.786667,0.983385
position,classical,82,0.800000,0.990000
position,quantum,82,0.800000,0.863277
position,classical,83,0.813333,1.005000
position,quantum,83,0.813333,0.638074
position,classical,84,0.826667,1.020000
position,quantum,84,0.826667,0.765689
position,classical,85,0.840000,0.997500
position,quantum,85,0.840000,0.487939
position,classical,86,0.853333,0.997500
position,quantum,86,0.853333,0.540486
position,classical,87,0.866667,0.997500
position,quantum,87,0.866667,0.487939
position,classical,88,0.880000,0.975000
position,quantum,88,0.880000,0.480432
position,classical,89,0.893333,0.997500
position,quantum,89,0.893333,0.427885
position,classical,90,0.906667,0.997500
position,quantum,90,0.906667,0.337804
position,classical,91,0.920000,0.997500
position,quantum,91,0.920000,0.307777
position,classical,92,0.933333,1.027500
position,quantum,92,0.933333,0.247723
position,classical,93,0.946667,0.982500
position,quantum,93,0.946667,0.172655
position,classical,94,0.960000,1.027500
position,quantum,94,0.960000,0.202682
position,classical,95,0.973333,1.050000
position,quantum,95,0.973333,0.090081
position,classical,96,0.986667,0.937500
position,quantum,96,0.986667,0.067561
position,classical,97,1.000000,0.337500
position,quantum,97,1.000000,0.075068
position,classical,98,1.013333,0.000000
position,quantum,98,1.013333,0.037534
position,classical,99,1.026667,0.000000
position,quantum,99,1.026667,0.037534
position,classical,100,1.040000,0.000000
position,quantum,100,1.040000,0.022520
position,classical,101,1.053333,0.000000
position,quantum,101,1.053333,0.022520
position,classical,102,1.066667,0.000000
position,quantum,102,1.066667,0.000000
position,classical,103,1.080000,0.000000
position,quantum,103,1.080000,0.000000
position,classical,104,1.093333,0.000000
position,quantum,104,1.093333,0.007507
position,classical,105,1.106667,0.000000
position,quantum,105,1.106667,0.000000
position,classical,106,1.120000,0.000000
position,quantum,106,1.120000,0.000000
position,classical,107,1.133333,0.000000
position,quantum,107,1.133333,0.000000
position,classical,108,1.146667,0.000000
position,quantum,108,1.146667,0.000000
position,classical,109,1.160000,0.000000
position,quantum,109,1.160000,0.000000
position,classical,110,1.173333,0.000000
position,quantum,110,1.173333,0.000000
position,classical,111,1.186667,0.000000
position,quantum,111,1.186667,0.000000
position,classical,112,1.200000,0.000000
position,quantum,112,1.200000,0.000000
position,classical,113,1.213333,0.000000
position,quantum,113,1.213333,0.000000
position,classical,114,1.226667,0.000000
position,quantum,114,1.226667,0.000000
position,classical,115,1.240000,0.000000
position,quantum,115,1.240000,0.000000
position,classical,116,1.253333,0.000000
position,quantum,116,1.253333,0.000000
position,classical,117,1.266667,0.000000
position,quantum,117,1.266667,0.000000
position,classical,118,1.280000,0.000000
position,quantum,118,1.280000,0.000000
position,classical,119,1.293333,0.000000
position,quantum,119,1.293333,0.000000
energy,classical,0,1.300000,0.000000
energy,quantum,0,1.300000,0.000000
energy,classical,1,3.900000,0.000000
energy,quantum,1,3.900000,0.000000
energy,classical,2,6.500000,0.000000
energy,quantum,2,6.500000,0.383808
energy,classical,3,9.100000,0.384615
energy,quantum,3,9.100000,0.000000
energy,classical,4,11.700000,0.000000
energy,quantum,4,11.700000,0.000000
energy,classical,5,14.300000,0.000000
energy,quantum,5,14.300000,0.000000
energy,classical,6,16.900000,0.000000
energy,quantum,6,16.900000,0.000000
energy,classical,7,19.500000,0.000000
energy,quantum,7,19.500000,0.000000
energy,classical,8,22.100000,0.000000
energy,quantum,8,22.100000,0.000000
energy,classical,9,24.700000,0.000000
energy,quantum,9,24.700000,0.000000
energy,classical,10,27.300000,0.000000
energy,quantum,10,27.300000,0.000000
energy,classical,11,29.900000,0.000000
energy,quantum,11,29.900000,0.000308
energy,classical,12,32.500000,0.000000
energy,quantum,12,32.500000,0.000000
energy,classical,13,35.100000,0.000000
energy,quantum,13,35.100000,0.000000
energy,classical,14,37.700000,0.000000
energy,quantum,14,37.700000,0.000000
energy,classical,15,40.300000,0.000000
energy,quantum,15,40.300000,0.000000
energy,classical,16,42.900000,0.000000
energy,quantum,16,42.900000,0.000000
energy,classical,17,45.500000,0.000000
energy,quantum,17,45.500000,0.000000
energy,classical,18,48.100000,0.000000
energy,quantum,18,48.100000,0.000000
energy,classical,19,50.700000,0.000000
energy,quantum,19,50.700000,0.000000
energy,classical,20,53.300000,0.000000
energy,quantum,20,53.300000,0.000000
energy,classical,21,55.900000,0.000000
energy,quantum,21,55.900000,0.000000
energy,classical,22,58.500000,0.000000
energy,quantum,22,58.500000,0.000000
energy,classical,23,61.100000,0.000000
energy,quantum,23,61.100000,0.000000
energy,classical,24,63.700000,0.000000
energy,quantum,24,63.700000,0.000000
energy,classical,25,66.300000,0.000000
energy,quantum,25,66.300000,0.000115
energy,classical,26,68.900000,0.000000
energy,quantum,26,68.900000,0.000000
energy,classical,27,71.500000,0.000000
energy,quantum,27,71.500000,0.000000
energy,classical,28,74.100000,0.000000
energy,quantum,28,74.100000,0.000000
energy,classical,29,76.700000,0.000000
energy,quantum,29,76.700000,0.000000
energy,classical,30,79.300000,0.000000
energy,quantum,30,79.300000,0.000000
energy,classical,31,81.900000,0.000000
energy,quantum,31,81.900000,0.000000
energy,classical,32,84.500000,0.000000
energy,quantum,32,84.500000,0.000000
energy,classical,33,87.100000,0.000000
energy,quantum,33,87.100000,0.000000
energy,classical,34,89.700000,0.000000
energy,quantum,34,89.700000,0.000000
energy,classical,35,92.300000,0.000000
energy,quantum,35,92.300000,0.000000
energy,classical,36,94.900000,0.000000
energy,quantum,36,94.900000,0.000000
energy,classical,37,97.500000,0.000000
energy,quantum,37,97.500000,0.000000
energy,classical,38,100.100000,0.000000
energy,quantum,38,100.100000,0.000000
energy,classical,39,102.700000,0.000000
energy,quantum,39,102.700000,0.000000
energy,classical,40,105.300000,0.000000
energy,quantum,40,105.300000,0.000000
energy,classical,41,107.900000,0.000000
energy,quantum,41,107.900000,0.000000
energy,classical,42,110.500000,0.000000
energy,quantum,42,110.500000,0.000000
energy,classical,43,113.100000,0.000000
energy,quantum,43,113.100000,0.000000
energy,classical,44,115.700000,0.000000
energy,quantum,44,115.700000,0.000000
energy,classical,45,118.300000,0.000000
energy,quantum,45,118.300000,0.000038
energy,classical,46,120.900000,0.000000
energy,quantum,46,120.900000,0.000000
energy,classical,47,123.500000,0.000000
energy,quantum,47,123.500000,0.000000
energy,classical,48,126.100000,0.000000
energy,quantum,48,126.100000,0.000000
energy,classical,49,128.700000,0.000000
energy,quantum,49,128.700000,0.000000
energy,classical,50,131.300000,0.000000
energy,quantum,50,131.300000,0.000000
energy,classical,51,133.900000,0.000000
energy,quantum,51,133.900000,0.000000
energy,classical,52,136.500000,0.000000
energy,quantum,52,136.500000,0.000000
energy,classical,53,139.100000,0.000000
energy,quantum,53,139.100000,0.000000
energy,classical,54,141.700000,0.000000
energy,quantum,54,141.700000,0.000000
energy,classical,55,144.300000,0.000000
energy,quantum,55,144.300000,0.000000
energy,classical,56,146.900000,0.000000
energy,quantum,56,146.900000,0.000000
energy,classical,57,149.500000,0.000000
energy,quantum,57,149.500000,0.000000
energy,classical,58,152.100000,0.000000
energy,quantum,58,152.100000,0.000000
energy,classical,59,154.700000,0.000000
energy,quantum,59,154.700000,0.000000
energy,classical,60,157.300000,0.000000
energy,quantum,60,157.300000,0.000000
energy,classical,61,159.900000,0.000000
energy,quantum,61,159.900000,0.000000
energy,classical,62,162.500000,0.000000
energy,quantum,62,162.500000,0.000000
energy,classical,63,165.100000,0.000000
energy,quantum,63,165.100000,0.000000
energy,classical,64,167.700000,0.000000
energy,quantum,64,167.700000,0.000000
energy,classical,65,170.300000,0.000000
energy,quantum,65,170.300000,0.000000
energy,classical,66,172.900000,0.000000
energy,quantum,66,172.900000,0.000000
energy,classical,67,175.500000,0.000000
energy,quantum,67,175.500000,0.000000
energy,classical,68,178.100000,0.000000
energy,quantum,68,178.100000,0.000000
