key,value
exported_at,2026-05-29T20:31:22.800Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.L,false
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,8.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,1.150000
A.e_star_ev,0.038100
A.v0_internal,209.973753
A.e_hist_max_ev,11.200000
A.position_measurements,10001.000000
A.energy_measurements,10001.000000
A.ionisation_events,0.000000
A.outside_box_events,201.000000
A.mean_x_engine,0.493165
A.mean_e_ev,1.154154
B.length_nm,1.500000
B.m_eff_me,1.000000
B.v0_ev,8.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,0.560000
B.e_star_ev,0.016933
B.v0_internal,472.440945
B.e_hist_max_ev,11.200000
B.position_measurements,10001.000000
B.energy_measurements,10001.000000
B.ionisation_events,0.000000
B.outside_box_events,58.000000
B.mean_x_engine,0.505589
B.mean_e_ev,0.558488

system,n,parity,E_n_ev,E_n_engine,k,kappa
A,1,even,0.289919,7.609428,2.758519,14.225482
A,2,odd,1.154183,30.293515,5.503954,13.404486
position,B,19,-0.040000,0.022498
position,B,20,-0.026667,0.044996
position,B,21,-0.013333,0.067493
position,B,22,0.000000,0.127487
position,B,23,0.013333,0.172483
position,B,24,0.026667,0.337466
position,B,25,0.040000,0.367463
position,B,26,0.053333,0.509949
position,B,27,0.066667,0.622438
position,B,28,0.080000,0.772423
position,B,29,0.093333,0.802420
position,B,30,0.106667,1.012399
position,B,31,0.120000,1.154885
position,B,32,0.133333,1.267373
position,B,33,0.146667,1.447355
position,B,34,0.160000,1.439856
position,B,35,0.173333,1.814819
position,B,36,0.186667,1.814819
position,B,37,0.200000,1.604840
position,B,38,0.213333,1.552345
position,B,39,0.226667,1.612339
position,B,40,0.240000,1.664834
position,B,41,0.253333,1.964804
position,B,42,0.266667,1.814819
position,B,43,0.280000,1.769823
position,B,44,0.293333,1.657334
position,B,45,0.306667,1.349865
position,B,46,0.320000,1.387361
position,B,47,0.333333,1.304870
position,B,48,0.346667,1.364864
position,B,49,0.360000,0.869913
position,B,50,0.373333,0.877412
position,B,51,0.386667,0.599940
position,B,52,0.400000,0.554945
position,B,53,0.413333,0.322468
position,B,54,0.426667,0.292471
position,B,55,0.440000,0.172483
position,B,56,0.453333,0.149985
position,B,57,0.466667,0.067493
position,B,58,0.480000,0.037496
position,B,59,0.493333,0.007499
position,B,60,0.506667,0.000000
position,B,61,0.520000,0.037496
position,B,62,0.533333,0.082492
position,B,63,0.546667,0.172483
position,B,64,0.560000,0.157484
position,B,65,0.573333,0.284972
position,B,66,0.586667,0.524948
position,B,67,0.600000,0.607439
position,B,68,0.613333,0.689931
position,B,69,0.626667,0.734927
position,B,70,0.640000,1.042396
position,B,71,0.653333,1.012399
position,B,72,0.666667,1.409859
position,B,73,0.680000,1.394861
position,B,74,0.693333,1.379862
position,B,75,0.706667,1.664834
position,B,76,0.720000,1.732327
position,B,77,0.733333,1.687331
position,B,78,0.746667,1.942306
position,B,79,0.760000,1.769823
position,B,80,0.773333,1.912309
position,B,81,0.786667,1.777322
position,B,82,0.800000,1.822318
position,B,83,0.813333,1.822318
position,B,84,0.826667,1.732327
position,B,85,0.840000,1.477352
position,B,86,0.853333,1.484852
position,B,87,0.866667,1.297370
position,B,88,0.880000,1.327367
position,B,89,0.893333,1.154885
position,B,90,0.906667,0.817418
position,B,91,0.920000,0.779922
position,B,92,0.933333,0.697430
position,B,93,0.946667,0.554945
position,B,94,0.960000,0.487451
position,B,95,0.973333,0.262474
position,B,96,0.986667,0.149985
position,B,97,1.000000,0.127487
position,B,98,1.013333,0.082492
position,B,99,1.026667,0.014999
position,B,100,1.040000,0.022498
position,B,101,1.053333,0.007499
position,B,102,1.066667,0.022498
position,B,103,1.080000,0.000000
position,B,104,1.093333,0.000000
position,B,105,1.106667,0.007499
position,B,106,1.120000,0.007499
position,B,107,1.133333,0.000000
position,B,108,1.146667,0.000000
position,B,109,1.160000,0.000000
position,B,110,1.173333,0.000000
position,B,111,1.186667,0.000000
position,B,112,1.200000,0.000000
position,B,113,1.213333,0.000000
position,B,114,1.226667,0.000000
position,B,115,1.240000,0.000000
position,B,116,1.253333,0.000000
position,B,117,1.266667,0.000000
position,B,118,1.280000,0.000000
position,B,119,1.293333,0.000000
energy,A,0,0.056000,0.000000
energy,A,1,0.168000,0.000000
energy,A,2,0.280000,0.000000
energy,A,3,0.392000,0.000000
energy,A,4,0.504000,0.000000
energy,A,5,0.616000,0.000000
energy,A,6,0.728000,0.001786
energy,A,7,0.840000,0.045531
energy,A,8,0.952000,0.600833
energy,A,9,1.064000,2.576528
energy,A,10,1.176000,3.763017
energy,A,11,1.288000,1.682867
energy,A,12,1.400000,0.252653
energy,A,13,1.512000,0.005357
energy,A,14,1.624000,0.000000
energy,A,15,1.736000,0.000000
energy,A,16,1.848000,0.000000
energy,A,17,1.960000,0.000000
energy,A,18,2.072000,0.000000
energy,A,19,2.184000,0.000000
energy,A,20,2.296000,0.000000
energy,A,21,2.408000,0.000000
energy,A,22,2.520000,0.000000
energy,A,23,2.632000,0.000000
energy,A,24,2.744000,0.000000
energy,A,25,2.856000,0.000000
energy,A,26,2.968000,0.000000
energy,A,27,3.080000,0.000000
energy,A,28,3.192000,0.000000
energy,A,29,3.304000,0.000000
energy,A,30,3.416000,0.000000
energy,A,31,3.528000,0.000000
energy,A,32,3.640000,0.000000
energy,A,33,3.752000,0.000000
energy,A,34,3.864000,0.000000
energy,A,35,3.976000,0.000000
energy,A,36,4.088000,0.000000
energy,A,37,4.200000,0.000000
energy,A,38,4.312000,0.000000
energy,A,39,4.424000,0.000000
energy,A,40,4.536000,0.000000
energy,A,41,4.648000,0.000000
energy,A,42,4.760000,0.000000
energy,A,43,4.872000,0.000000
energy,A,44,4.984000,0.000000
energy,A,45,5.096000,0.000000
energy,A,46,5.208000,0.000000
energy,A,47,5.320000,0.000000
energy,A,48,5.432000,0.000000
energy,A,49,5.544000,0.000000
energy,A,50,5.656000,0.000000
energy,A,51,5.768000,0.000000
energy,A,52,5.880000,0.000000
energy,A,53,5.992000,0.000000
energy,A,54,6.104000,0.000000
energy,A,55,6.216000,0.000000
energy,A,56,6.328000,0.000000
energy,A,57,6.440000,0.000000
energy,A,58,6.552000,0.000000
energy,A,59,6.664000,0.000000
energy,A,60,6.776000,0.000000
energy,A,61,6.888000,0.000000
energy,A,62,7.000000,0.000000
energy,A,63,7.112000,0.000000
energy,A,64,7.224000,0.000000
energy,A,65,7.336000,0.000000
energy,A,66,7.448000,0.000000
energy,A,67,7.560000,0.000000
energy,A,68,7.672000,0.000000
energy,A,69,7.784000,0.000000
energy,A,70,7.896000,0.000000
energy,A,71,8.008000,0.000000
energy,A,72,8.120000,0.000000
energy,A,73,8.232000,0.000000
energy,A,74,8.344000,0.000000
energy,A,75,8.456000,0.000000
energy,A,76,8.568000,0.000000
energy,A,77,8.680000,0.000000
energy,A,78,8.792000,0.000000
energy,A,79,8.904000,0.000000
energy,A,80,9.016000,0.000000
energy,A,81,9.128000,0.000000
energy,A,82,9.240000,0.000000
energy,A,83,9.352000,0.000000
energy,A,84,9.464000,0.000000
energy,A,85,9.576000,0.000000
energy,A,86,9.688000,0.000000
energy,A,87,9.800000,0.000000
energy,A,88,9.912000,0.000000
energy,A,89,10.024000,0.000000
energy,A,90,10.136000,0.000000
energy,A,91,10.248000,0.000000
energy,A,92,10.360000,0.000000
energy,A,93,10.472000,0.000000
energy,A,94,10.584000,0.000000
energy,A,95,10.696000,0.000000
energy,A,96,10.808000,0.000000
energy,A,97,10.920000,0.000000
energy,A,98,11.032000,0.000000
energy,A,99,11.144000,0.000000
energy,B,0,0.056000,0.000000
energy,B,1,0.168000,0.001786
energy,B,2,0.280000,0.102668
energy,B,3,0.392000,1.098997
energy,B,4,0.504000,3.352343
energy,B,5,0.616000,3.213964
energy,B,6,0.728000,1.040967
energy,B,7,0.840000,0.114274
energy,B,8,0.952000,0.003571
energy,B,9,1.064000,0.000000
energy,B,10,1.176000,0.000000
energy,B,11,1.288000,0.000000
energy,B,12,1.400000,0.000000
energy,B,13,1.512000,0.000000
energy,B,14,1.624000,0.000000
energy,B,15,1.736000,0.000000
energy,B,16,1.848000,0.000000
energy,B,17,1.960000,0.000000
energy,B,18,2.072000,0.000000
energy,B,19,2.184000,0.000000
energy,B,20,2.296000,0.000000
energy,B,21,2.408000,0.000000
energy,B,22,2.520000,0.000000
energy,B,23,2.632000,0.000000
energy,B,24,2.744000,0.000000
energy,B,25,2.856000,0.000000
energy,B,26,2.968000,0.000000
energy,B,27,3.080000,0.000000
energy,B,28,3.192000,0.000000
energy,B,29,3.304000,0.000000
energy,B,30,3.416000,0.000000
energy,B,31,3.528000,0.000000
energy,B,32,3.640000,0.000000
energy,B,33,3.752000,0.000000
energy,B,34,3.864000,0.000000
energy,B,35,3.976000,0.000000
energy,B,36,4.088000,0.000000
energy,B,37,4.200000,0.000000
energy,B,38,4.312000,0.000000
energy,B,39,4.424000,0.000000
energy,B,40,4.536000,0.000000
energy,B,41,4.648000,0.000000
energy,B,42,4.760000,0.000000
energy,B,43,4.872000,0.000000
energy,B,44,4.984000,0.000000
energy,B,45,5.096000,0.000000
energy,B,46,5.208000,0.000000
energy,B,47,5.320000,0.000000
energy,B,48,5.432000,0.000000
energy,B,49,5.544000,0.000000
