key,value
exported_at,2026-05-29T15:03:16.438Z
v0,100.000000
energy_setting,80.000000
gamma_internal,21.000000
gamma_displayed,20.000000
instrument_sigma,2.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,130.000000
classical_measurements,10000.000000
classical_mean_x,0.500414
classical_mean_E,79.970924
quantum_position_measurements,8470.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,1530.000000
quantum_outside_box_events,2107.000000
quantum_mean_x,0.501755
quantum_mean_E,124.369838

eigenstate_n,parity,energy_E_n,k,kappa
energy,classical,5,7.150000,0.000000
energy,quantum,5,7.150000,0.006308
energy,classical,6,8.450000,0.000000
energy,quantum,6,8.450000,0.004846
energy,classical,7,9.750000,0.000000
energy,quantum,7,9.750000,0.002462
energy,classical,8,11.050000,0.000000
energy,quantum,8,11.050000,0.000385
energy,classical,9,12.350000,0.000000
energy,quantum,9,12.350000,0.000154
energy,classical,10,13.650000,0.000000
energy,quantum,10,13.650000,0.000000
energy,classical,11,14.950000,0.000000
energy,quantum,11,14.950000,0.000000
energy,classical,12,16.250000,0.000000
energy,quantum,12,16.250000,0.000000
energy,classical,13,17.550000,0.000000
energy,quantum,13,17.550000,0.000000
energy,classical,14,18.850000,0.000000
energy,quantum,14,18.850000,0.000000
energy,classical,15,20.150000,0.000000
energy,quantum,15,20.150000,0.000000
energy,classical,16,21.450000,0.000000
energy,quantum,16,21.450000,0.000231
energy,classical,17,22.750000,0.000000
energy,quantum,17,22.750000,0.001308
energy,classical,18,24.050000,0.000000
energy,quantum,18,24.050000,0.003385
energy,classical,19,25.350000,0.000000
energy,quantum,19,25.350000,0.007692
energy,classical,20,26.650000,0.000000
energy,quantum,20,26.650000,0.011385
energy,classical,21,27.950000,0.000000
energy,quantum,21,27.950000,0.011462
energy,classical,22,29.250000,0.000000
energy,quantum,22,29.250000,0.004692
energy,classical,23,30.550000,0.000000
energy,quantum,23,30.550000,0.002231
energy,classical,24,31.850000,0.000000
energy,quantum,24,31.850000,0.000385
energy,classical,25,33.150000,0.000000
energy,quantum,25,33.150000,0.000077
energy,classical,26,34.450000,0.000000
energy,quantum,26,34.450000,0.000000
energy,classical,27,35.750000,0.000000
energy,quantum,27,35.750000,0.000000
energy,classical,28,37.050000,0.000000
energy,quantum,28,37.050000,0.000000
energy,classical,29,38.350000,0.000000
energy,quantum,29,38.350000,0.000000
energy,classical,30,39.650000,0.000000
energy,quantum,30,39.650000,0.000000
energy,classical,31,40.950000,0.000000
energy,quantum,31,40.950000,0.000000
energy,classical,32,42.250000,0.000000
energy,quantum,32,42.250000,0.000000
energy,classical,33,43.550000,0.000000
energy,quantum,33,43.550000,0.000000
energy,classical,34,44.850000,0.000000
energy,quantum,34,44.850000,0.000000
energy,classical,35,46.150000,0.000000
energy,quantum,35,46.150000,0.000000
energy,classical,36,47.450000,0.000000
energy,quantum,36,47.450000,0.000000
energy,classical,37,48.750000,0.000000
energy,quantum,37,48.750000,0.000000
energy,classical,38,50.050000,0.000000
energy,quantum,38,50.050000,0.000000
energy,classical,39,51.350000,0.000000
energy,quantum,39,51.350000,0.000000
energy,classical,40,52.650000,0.000000
energy,quantum,40,52.650000,0.000231
energy,classical,41,53.950000,0.000000
energy,quantum,41,53.950000,0.003615
energy,classical,42,55.250000,0.000000
energy,quantum,42,55.250000,0.010846
energy,classical,43,56.550000,0.000000
energy,quantum,43,56.550000,0.029538
energy,classical,44,57.850000,0.000000
energy,quantum,44,57.850000,0.049154
energy,classical,45,59.150000,0.000000
energy,quantum,45,59.150000,0.062154
energy,classical,46,60.450000,0.000000
energy,quantum,46,60.450000,0.046385
energy,classical,47,61.750000,0.000000
energy,quantum,47,61.750000,0.021692
energy,classical,48,63.050000,0.000000
energy,quantum,48,63.050000,0.008692
energy,classical,49,64.350000,0.000000
energy,quantum,49,64.350000,0.001846
energy,classical,50,65.650000,0.000000
energy,quantum,50,65.650000,0.000077
energy,classical,51,66.950000,0.000000
energy,quantum,51,66.950000,0.000000
energy,classical,52,68.250000,0.000000
energy,quantum,52,68.250000,0.000000
energy,classical,53,69.550000,0.000000
energy,quantum,53,69.550000,0.000000
energy,classical,54,70.850000,0.000000
